,locality
598,Mulund
599,Mulund
600,Mulund
601,Chembur
602,Chembur 
603,Chembur
604,Chembur
605,Mulund
606,Mulund
607,Mulund
608,Sambhaji Nagar
609,Mulund
610,Nahur
611,Kurla 
612,Mulund
613,Sambhaji Nagar
614,Kannamwar Nagar 1
615,Pant Nagar
616,Chembur 
617,Chembur
618,Mulund
619,Powai
620,Powai
621,Powai
622,Powai
623,Powai
624,Powai
625,Powai
626,Powai
627,Powai
628,Powai
629,Ghatkopar 
630,Ghatkopar 
631,Ghatkopar 
632,Ghatkopar 
633,Garodia Nagar
634,Ghatkopar 
635,Ghatkopar 
636,Garodia Nagar
637,Ghatkopar 
638,Ghatkopar 
639,Ghatkopar 
640,Ghatkopar 
641,Sindhi Society Chembur
642,Ghatla
643,Chandivali
644,Sion 
645,Bhandup 
646,Bhandup 
647,Tilak nagar
648,Chembur 
649,Vikhroli 
650,Vikhroli 
651,Vikhroli 
652,Vikhroli 
653,Chembur
654,Chandivali
655,Chandivali
656,Ghatkopar 
657,Powai
658,Pirojshanagar
659,Pirojshanagar
660,Ghatkopar 
661,Ghatkopar 
662,Ghatkopar 
663,Chembur 
664,Chembur 
665,Ghatkopar 
666,Chandivali
667,Ghatkopar 
668,Ghatkopar 
669,Chandivali
670,Ghatkopar 
671,Tilak nagar
672,Chandivali
673,Chembur
674,Powai
675,Chandivali
676,Chembur 
677,Chembur 
678,Chandivali
679,Ghatkopar 
680,Chembur 
681,Sindhi Society Chembur
682,Chembur 
683,Ghatkopar 
684,Chembur 
685,Chembur 
686,Mulund
687,Chembur 
688,Mulund
689,Ghatkopar 
690,Pirojshanagar
691,Pirojshanagar
692,Powai
693,Mulund
694,Chembur 
695,Powai
696,Powai
697,Chembur
698,Powai
699,Powai
700,Chembur 
701,Tilak nagar
702,Garodia Nagar
703,Tilak nagar
704,Tilak nagar
705,Powai
706,Ghatkopar 
707,Kanjurmarg 
708,Swastik Park
709,Union Park
710,Ghatkopar 
711,Powai
712,Powai
713,Powai
714,Kanjurmarg 
715,Powai
716,Mulund
717,Mulund
718,Mulund
719,Mulund
720,Chembur 
721,Bhandup 
722,Govind Nagar
723,Mulund
724,Mulund
725,Chembur
726,Chembur
727,Chembur
728,Powai
729,Mulund
730,Chandivali
731,Powai
732,Powai
733,Powai
734,Powai
735,Powai
736,Powai
737,Chembur 
738,Powai
739,Powai
740,Ghatkopar 
741,Ghatkopar 
742,Ambedkar Nagar
743,Chembur
744,Mulund
745,Powai
746,Powai
747,Sindhi Society Chembur
748,Ganesh Nagar
749,Ghatkopar 
750,Powai
751,Powai
752,Nahar Amrit Shakti
753,Chembur
754,Chembur
755,Ghatkopar 
756,Ghatkopar 
757,Chembur
758,Powai
759,Bhandup 
760,Powai
761,Powai
762,Bhandup 
763,Pant Nagar
764,Chandivali
765,Powai
766,Raheja Vihar
767,Mulund
768,Mulund
769,Mulund
770,Deonar
771,Chembur
772,Chembur
773,Deonar
774,Chembur
775,Deonar
776,Ghatkopar 
777,Kanjurmarg 
778,Kanjurmarg 
779,Panchkutir Ganesh Nagar
780,Deonar
781,Powai
782,Powai
783,Powai
784,Mulund
785,Mulund
786,Mulund
787,Mulund
788,Powai
789,Powai
790,Kanjurmarg west
791,Powai
792,Chandivali
793,Ghatkopar 
794,Ghatkopar 
795,Chembur
796,Ghatkopar 
797,Powai
798,Sindhi Society Chembur
799,Sindhi Society Chembur
800,Chembur
801,Kurla 
802,Kurla 
803,Kurla 
804,Kurla 
805,Chembur
806,Kurla 
807,Tilak nagar
808,Mulund
809,Tilak nagar
810,Union Park
811,Vikhroli 
812,Chembur
813,Kurla
814,Mulund
815,Ghatkopar 
816,Chembur
817,Vikhroli 
818,Ghatkopar 
819,Chandivali
820,Vikhroli 
821,Chembur 
822,Powai
823,Powai
824,Powai
825,Chandivali
826,Ghatkopar 
827,Ghatkopar 
828,Chandivali
829,Ghatkopar 
830,Chembur
831,Chembur
832,Powai
833,Mulund
834,Ghatkopar 
835,Ghatkopar 
836,Vikhroli 
837,Nahar Amrit Shakti
838,Mulund
839,Mulund
840,New Rajaram Wadi
841,Mulund
842,Mulund
843,Mulund
844,Mulund
845,Kanjurmarg west
846,Nahur 
847,Powai
848,Kanjurmarg 
849,Raheja Vihar
850,Chembur 
851,Chembur
852,Sindhi Society Chembur
853,Sindhi Society Chembur
854,Deonar
855,Chembur 
856,Powai
857,Powai
858,Powai
859,Kanjurmarg west
860,Chandivali
861,Chembur 
862,Mulund
863,Mulund
864,Mulund
865,Mulund
866,Mulund
867,Neelam Nagar
868,Bhandup 
869,Siddharth Nagar
870,Mulund
871,Mulund
872,Subhash Nagar
873,Chembur 
874,Powai
875,Chembur 
876,Vidyavihar 
877,Powai
878,Gangawadi
879,Chembur 
880,Ghatkopar 
881,Chembur 
882,Chembur
883,RCF Colony Chembur
884,Powai
885,Ghatkopar 
886,Powai
887,Lok Milan Colony
888,Powai
889,Bhandup 
890,Vikhroli 
891,Chandivali
892,Jaydev Singh Nagar
893,Bhandup 
894,Jaydev Singh Nagar
895,Chandivali
896,Chembur 
897,Garodia Nagar
898,Chandivali
899,Chandivali
900,Powai
901,Chembur
902,Chembur
903,Chembur 
904,Chembur 
905,Chembur 
906,Chembur 
907,Chembur 
908,Chembur 
909,Chembur
910,Mulund
911,Mulund
912,Mulund
913,Mulund
914,Mulund
915,Mulund
916,Chembur
917,Mulund
918,Chembur
919,Chembur
920,Sambhaji Nagar
921,Kurla 
922,Kannamwar Nagar 2
923,Kurla 
924,"Nehru Nagar,Kurla"
925,Powai
926,Chandivali
927,Powai
928,Deonar
929,Deonar
930,Ghatkopar 
931,Sindhu Wadi
932,Ghatkopar 
933,Powai
934,Sion 
935,Sion 
936,Sion 
937,Ghatkopar 
938,Deonar
939,Ghatkopar 
940,Mulund
941,Chembur 
942,Chembur 
943,Chembur 
944,Deonar
945,Ghatkopar 
946,Chembur
947,Chembur 
948,Deonar
949,Chembur 
950,Chembur 
951,Chembur 
952,Deonar
953,Chembur 
954,Chembur 
955,Chembur
956,Deonar
