price,price_per_sqft,area,bedrooms,floor_number,is_floor_availabe,area_type,is_area_type_availabe,property_age,is_property_age_availabe,bathroom,property_type,locality
3.2,34297,1250,2,higher_floor,1,Built-up Area,1,new_property,1,2,flat,Pirojshanagar
2.41,35029,688,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur
4.2,36521,1150,2,Not Specified,0,Built-up Area,1,not_specify,0,2,flat,Powai
2.32,27039,858,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Maneklal Estate
2.32,26976,860,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
2.32,27553,842,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Maneklal Estate
1.6,27164,589,1,higher_floor,1,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
1.6,27164,589,1,lower_floor,1,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
2.1,26649,788,2,higher_floor,1,Not Specified,0,not_specify,0,2,flat,Mulund
1.65,28497,579,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Vikhroli 
5.8,49913,1162,3,higher_floor,1,Super Built-up Area,1,new_property,1,3,flat,Powai
2.07,27344,757,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur 
3.25,28812,1128,3,Not Specified,0,Not Specified,0,new_property,1,3,flat,Chembur
14,46250,3027,2,Not Specified,0,Not Specified,0,not_specify,0,5,flat,Chembur
1.08,18000,600,1,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Kurla 
6.85,49890,1373,4,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Powai
3.75,35310,1062,3,higher_floor,1,Carpet Area,1,not_specify,0,3,flat,Deonar
6.35,42333,1500,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Powai
3.6,33519,1074,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Pant Nagar
2.25,29566,761,2,lower_floor,1,Carpet Area,1,moderately_new,1,2,flat,Chandivali
3.89,28456,1367,3,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Mulund
2.1,32012,656,2,higher_floor,1,Carpet Area,1,not_specify,0,2,flat,Mulund
2.9,23200,1250,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Pirojshanagar
1.55,25833,600,1,middle_floor,1,Super Built-up Area,1,moderately_new,1,1,flat,Powai
10,40000,2500,4,lower_floor,1,Carpet Area,1,moderately_new,1,4,flat,Chembur
14.25,47185,3020,5,higher_floor,1,Carpet Area,1,new_property,1,5,flat,Chembur
2,22222,900,2,middle_floor,1,Carpet Area,1,not_specify,0,2,flat,Mulund
2.3,29947,768,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Sambhaji Nagar
2.45,25128,975,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chandivali
1.7,18579,915,2,higher_floor,1,Super Built-up Area,1,moderately_new,1,2,flat,Powai
1.65,18032,915,2,higher_floor,1,Super Built-up Area,1,moderately_new,1,2,flat,Powai
1.99,29924,665,2,lower_floor,1,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
1.65,26025,634,3,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
3.85,29012,1327,3,higher_floor,1,Carpet Area,1,new_property,1,4,flat,Pant Nagar
4.15,36725,1130,2,higher_floor,1,Built-up Area,1,moderately_new,1,2,flat,Powai
2.01,32576,617,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Sindhi Society Chembur
4.41,41666,1053,3,higher_floor,1,Carpet Area,1,not_specify,0,4,flat,Powai
3.2,31683,1010,2,higher_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Pirojshanagar
2.2,32352,680,2,lower_floor,1,Carpet Area,1,not_specify,0,2,flat,Chandivali
1.9,30744,618,2,Not Specified,0,Carpet Area,1,not_specify,0,2,flat,Vikhroli 
1.55,16939,915,2,higher_floor,1,Super Built-up Area,1,moderately_new,1,2,flat,Powai
6.5,42650,1524,4,higher_floor,1,Carpet Area,1,new_property,1,4,flat,Deonar
1.85,43123,860,1,middle_floor,1,Super Built-up Area,1,not_specify,0,1,flat,Powai
2.92,34970,835,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Garodia Nagar
1.7,25000,953,2,middle_floor,1,Built-up Area,1,not_specify,0,2,flat,Mulund
1.65,23571,700,2,middle_floor,1,Carpet Area,1,not_specify,0,2,flat,Kurla 
7.5,44642,1680,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Chembur
2.2,27500,800,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Powai
3.5,34414,1017,3,lower_floor,1,Carpet Area,1,new_property,1,3,flat,Chembur 
2.16,31395,688,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Chembur 
3.45,36741,939,3,higher_floor,1,Carpet Area,1,not_specify,0,3,flat,Deonar
0.95,24611,617,1,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Hariyali
3.3,44474,742,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur
4.1,37003,1108,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Chembur
5.5,41572,1323,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Chembur
5,33333,1500,5,higher_floor,1,Carpet Area,1,new_property,1,4,flat,Pant Nagar
3.3,31428,1650,3,middle_floor,1,Super Built-up Area,1,new_property,1,3,flat,Postal Colony
3.49,32165,1350,3,higher_floor,1,Super Built-up Area,1,new_property,1,3,flat,Kanjurmarg 
3.15,29193,1079,2,higher_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Pirojshanagar
1.8,18947,950,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Kanjurmarg 
2.23,28923,771,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Kanjurmarg west
